School,2022,2019,Change,Town,Population,Is Rural
East Smiths Station Elementary School,87,84,,Smiths Station,5381,
Madison County Virtual Academy,87,,,Huntsville,216963,
Owens Cross Roads School,87,87,,Owens Cross Roads,2635,
Cora Castlen Elementary,87,90,,Grand Bay,,
Semmes Elementary School,87,89,,Semmes,5209,
Blount Elementary School,87,87,,Montgomery,198665,
Oxford Elementary School,87,93,,Oxford,22312,
Pelham Oaks,87,91,,Pelham,24688,
Walter M Kennedy School,87,88,,Pell City,13248,
Pike Road Jr High School,87,,,,,
Russellville Elementary School,87,82,,Russellville,10789,
West Elementary School,86,82,,Russellville,10789,
Thurston T Nelson Elementary School,87,92,,Scottsboro,15640,
Ashville Elementary School,87,93,,Ashville,2347,
Margaret Elementary,87,85,,Odenville,4999,
Springville Middle School,87,93,,Springville,4935,
Millry High School,87,86,,Millry,443,
Washington County High School,87,85,,Chatom,1039,
Arab High School,86,91,,Arab,8498,
Orange Beach Middle/High School,86,,,Orange Beach,8347,
Spanish Fort Middle School,86,91,,Spanish Fort,10392,
Cleveland High School,86,84,,Cleveland,1243,
Hayden High School,86,89,,Hayden,1332,
Hayden Middle School,86,86,,Hayden,1332,
Locust Fork High School,86,83,,Locust Fork,1198,
Southeastern School,86,86,,Remlap,,
Weaver Elementary School,86,82,,Weaver,3401,
Cedar Bluff High School,86,86,,Cedar Bluff,1864,
Centre Elementary School,86,76,,Centre,3528,
Lineville Elementary School,86,82,,Lineville,2474,
Cullman High School,86,93,,Cullman,18635,
Julian Harris Elementary School,86,85,,Decatur,57804,
Fyffe High School,86,82,,Fyffe,963,
Westside Elementary School,86,77,,Demopolis,7009,
Coosada Elementary School,86,87,,Millbrook,17217,
Elmore County High School,86,82,,Eclectic,1224,
Southside Elementary School,86,88,,Southside,9465,
Gulf Shores Middle School,86,,,Gulf Shores,15736,
Haleyville Middle School,86,77,,Haleyville,4351,
Rehobeth High School,86,81,,Dothan,71175,
Academy For Science & Foreign Language,86,83,,Huntsville,216963,
Challenger Elementary School,86,81,,Huntsville,216963,
Jacksonville High School,86,84,,Jacksonville,13057,
Bagley Elementary School,86,89,,Dora,2290,
Warrior Elementary School,86,87,,Warrior,3204,
Underwood Elementary School,86,84,,Florence,39933,
Sugar Creek Elementary School,86,82,,Lester,112,
Harvest School,86,87,,Harvest,,
Madison County High School,86,85,,Gurley,825,
Madison Cross Roads Elementary School,86,89,,Toney,,
Walnut Grove School,86,88,,New Market,,
Anna F Booth Elementary School,86,94,,Irvington,,
Tanner Williams Elementary School,86,87,,Wilmer,,
Floyd Middle School,86,98,,Montgomery,198665,
Northside School,86,91,,Northport,31009,
Southview Primary School,86,91,,Opelika,31538,
De Armanville Elementary School,86,90,,Anniston,21157,
Sherwood Elementary School,86,95,,Phenix City,38428,
Pike Road High School,86,79,,Pike Rd,,
Knight Enloe Elementary School,86,87,,Roanoke,5279,
Dixie Elementary School,86,89,,Opelika,31538,
Mount Olive Intermediate School,86,77,,Fort Mitchell,,
Satsuma High School,86,88,,Satsuma,6785,
Caldwell Elementary School,86,93,,Scottsboro,15640,
Collins Intermediate School,86,89,,Scottsboro,15640,
Chelsea High School,86,88,,Chelsea,15653,
Helena High School,86,87,,Helena,21560,
Helena Middle,86,92,,Helena,21560,
Odenville Intermediate School,86,87,,Odenville,4999,
Sycamore School,86,80,,Alpine,,
Northridge Middle School,86,90,,Tuscaloosa,100618,
Lake View Elementary School,86,87,,McCalla,,
Myrtlewood Elementary School,86,89,,Fosters,,
Northport Intermediate School,86,,,Northport,31009,
R E Thompson Intermediate School,86,82,,Tuscumbia,9068,
Fruitdale High School,86,84,,Fruitdale,,
Addison Elementary School,86,84,,Addison,668,
Lynn Elementary School,86,81,,Lynn,617,
Athens Elementary School,85,83,,Athens,27027,
East Samford School,85,92,,Auburn,78564,
Delta Elementary School,85,84,,Bay Minette,7894,
Perdido Elementary School,85,88,,Perdido,,
West Blocton Elementary School,85,83,,West Blocton,1226,
EPIC Alternative Elementary School,85,88,,Birmingham,197575,
Oliver K5 School,85,74,,,,
Appalachian  School,85,84,,Oneonta,6805,
Blountsville Elementary School,85,85,,Blountsville,1827,
Boaz Middle School,85,75,,Boaz,10161,
Alexandria High School,85,78,,Alexandria,,
Spring Garden High School,85,82,,Piedmont,4810,
Clanton Elementary School,85,89,,Clanton,8762,
Cleburne County High School,85,81,,Heflin,3400,
Colbert Heights High School,85,86,,Tuscumbia,9068,
Brantley High School,85,87,,Brantley,807,
Cold Springs High School,85,91,,Bremen,,
Fairview Elementary School,85,89,,Cullman,18635,
Fairview High School,85,91,,Cullman,18635,
Fairview Middle School,85,88,,Cullman,18635,
Good Hope Middle School,85,88,,Cullman,18635,
Holly Pond Elementary School,85,93,,Holly Pond,857,
Vinemont Elementary School,85,85,,Vinemont,,
Midland City Elementary School,85,90,,Midland City,2264,
US Jones Elementary School,85,77,,Demopolis,7009,
Wetumpka Elementary School,85,87,,Wetumpka,7190,
Dauphin Junior High School,85,90,,Enterprise,29395,
Flomaton Elementary School,85,90,,Flomaton,1452,
Ivalee Elementary School,85,85,,Attalla,5839,
Whitesboro Elementary School,85,93,,Boaz,10161,
Geneva County Middle School,85,85,,,,
Haleyville High School,85,81,,Haleyville,4351,
Headland Middle School,85,81,,Headland,5145,
Houston County High School,85,86,,Columbia,690,
Rehobeth Middle School,85,91,,Rehobeth,1821,
Whitesburg Elementary School,85,,,Huntsville,216963,
Rosalie Elementary School,85,83,,Pisgah,682,
Gardendale Elementary School,85,87,,Gardendale,16444,
McAdory Elementary School,85,80,,McCalla,,
Snow Rogers Elementary School,85,89,,Gardendale,16444,
Lauderdale County High School,85,87,,Rogersville,1336,
Rogers High School,85,92,,Florence,39933,
Wilson High School,85,81,,Florence,39933,
Moulton Elementary School,85,87,,Moulton,3358,
Beulah Elementary School,85,74,,Valley,10513,
Buckhorn Middle School,85,87,,New Market,,
Sweet Water High School,85,91,,Sweet Water,225,
Hamilton Middle School,85,85,,Hamilton,6991,
Kate D Smith DAR High School,85,90,,Grant,1040,
Allentown Elementary School,85,82,,Semmes,5209,
Elsie Collier Elementary School,85,91,,Mobile,184952,
Excel High School,85,81,,Excel,550,
Eva School,85,86,,Eva,589,
Union Hill School,85,89,,Somerville,799,
Oneonta High School,85,88,,Oneonta,6805,
Banks School,85,81,,,,
Mt Olive Primary School,85,77,,Fort Mitchell,,
Odenville Elementary School,85,86,,Odenville,4999,
Steele Junior High School,85,93,,Steele,1000,
AH Watwood Elementary School,85,83,,Childersburg,4689,
Lincoln Elementary School,85,79,,Lincoln,7082,
Reeltown High School,85,88,,Notasulga,916,
Thomasville Elementary School,85,74,,Thomasville,3548,
Big Sandy Elementary,85,91,,Tuscaloosa,100618,
G W Trenholm Primary School,85,82,,Tuscumbia,9068,
University Charter School,85,78,,Livingston,3153,
Chatom Elementary School,85,91,,Chatom,1039,
Nathaniel H Stephens Elementary School,84,76,,Alexander City,14618,
Drake Middle School,84,91,,Auburn,78564,
Rosinton School,84,88,,Robertsdale,6916,
Silverhill School,84,90,,Silverhill,1035,
Cleveland Elementary School,84,85,,Cleveland,1243,
Susan Moore Elementary School,84,86,,Blountsville,1827,
Brewton Elementary School,84,93,,,,
Pleasant Valley High School,84,86,,Jacksonville,13057,
Sand Rock High School,84,83,,Leesburg,915,
Conecuh County Junior High School,84,70,,Castleberry,480,
Straughn High School,84,87,,Andalusia,8715,
Highland Home School,84,84,,Highland Home,,
Holtville High School,84,83,,Deatsville,1730,
Wetumpka High School,84,88,,1251 Coosa River Pkwy,,
Harrand Creek Elementary School,84,90,,Enterprise,29395,
Hokes Bluff Elementary School,84,79,,Hokes Bluff,4435,
Academy for Academics and Arts Middle School,84,,,Huntsville,216963,
Challenger Middle School,84,91,,Huntsville,216963,
Hollywood Elementary School,84,81,,Hollywood,918,
Central High School,84,86,,,,
Hatton Elementary School,84,87,,,,
West Smiths Station Elementary School,84,86,,Smiths Station,5381,
Ardmore High School,84,85,,Ardmore,1370,
Blue Springs Elementary School,84,88,,Athens,27027,
Johnson Elementary School,84,83,,,,
Buckhorn High School,84,85,,New Market,,
Madison County Elementary School,84,83,,Gurley,825,
Douglas Elementary School,84,76,,Horton,,
J E Turner Elementary,84,89,,Wilmer,,
Pearl Haskew Elementary,84,88,,Irvington,,
Oxford Middle School,84,85,,Oxford,22312,
Pelham Park Middle School,84,84,,Pelham,24688,
Pelham Ridge,84,86,,Pelham,24688,
Gordo Elementary School,84,85,,Gordo,1612,
Gordo High School,84,81,,Gordo,1612,
Rock Mills Junior High School,84,83,,Roanoke,5279,
Ladonia Elementary School,84,91,,Phenix City,38428,
Montevallo Elementary School,84,86,,Montevallo,7255,
Vincent Elementary School,84,90,,Vincent,1997,
Reeltown Elementary School,84,88,,Notasulga,916,
Tallassee Elementary School,84,84,,Tallassee,4808,
Northridge High School,84,89,,Tuscaloosa,100618,
Faucett-Vestavia Elementary School,84,94,,Northport,31009,
Bankhead Middle School,84,86,,Cordova,1681,
Valley Junior High School,84,85,,Jasper,14354,
Double Springs Elementary School,84,75,,Double Springs,1076,
Jim Pearson Elementary School,83,76,,Alexander City,14618,
William L Radney Elementary School,83,83,,Alexander City,14618,
Prattville Intermediate School,83,83,,Prattville,38286,
Prattville Junior High School,83,92,,Prattville,38286,
Bay Minette Elementary School,83,79,,Bay Minette,7894,
Daphne High School,83,90,,Daphne,28777,
Fairhope High School,83,91,,Fairhope,23147,
Corley Elementary School,83,89,,Boaz,10161,
Saks High School,83,81,,Anniston,21157,
Centre Middle School,83,80,,Centre,3528,
Isabella High School,83,82,,Maplesville,641,
Pleasant Grove Elementary School,83,75,,Pleasant Grove,9495,
New Brockton Elementary School,83,80,,New Brockton,1437,
Cherokee High School,83,81,,Cherokee,963,
Good Hope High School,83,84,,Cullman,18635,
Hanceville Middle School,83,87,,Hanceville,3215,
Parkside Elementary School,83,89,,Baileyton,660,
Vinemont Middle School,83,89,,Vinemont,,
Flomaton High School,83,90,,Flomaton,1452,
Glencoe Middle School,83,82,,Glencoe,5412,
Fayette County High School,83,87,,Fayette,4185,
Hubbertville School,83,84,,Fayette,4185,
Hibbett School,83,86,,Florence,39933,
Phil Campbell Elementary School,83,85,,Phil Campbell,988,
Red Bay Elementary,83,,,Red Bay,3184,
Geneva High School,83,84,,Geneva,4185,
Geneva Middle School,83,88,,Geneva,4185,
Haleyville Elementary School,83,85,,Haleyville,4351,
Ashford Middle School,83,,,Ashford,2247,
Cottonwood High School,83,86,,Cottonwood,1046,
Blossomwood Elementary School,83,82,,Huntsville,216963,
Section High School,83,86,,Section,763,
West Jefferson Elementary School,83,85,,Quinton,,
Brooks High School,83,88,,Killen,1040,
Cedar Hill Elementary School,83,88,,Ardmore,1370,
Meridianville Middle School,83,90,,Hazel Green,,
New Hope High School,83,82,,New Hope,2891,
Sparkman Ninth Grade School,83,82,,Harvest,,
O'Rourke Elementary School,83,86,,Mobile,184952,
Taylor White Elementary School,83,82,,Mobile,184952,
Cotaco School,83,87,,Somerville,799,
Oxford High School,83,81,,Oxford,22312,
South Girard School,83,84,,Phenix City,38428,
Pickens County High School,83,77,,Reform,1495,
Woodland High School,83,82,,Woodland,222,
Springville High School,83,88,,Springville,4935,
Winterboro High School,83,81,,Alpine,,
Troy Elementary School,83,87,,Troy,17609,
Maxwell Elementary School,83,88,,Duncanville,,
Curry Elementary School,83,84,,Jasper,14354,
Curry Middle School,83,85,,Jasper,14354,
Lupton Junior High School,83,82,,Nauvoo,185,
McIntosh High School,83,74,,McIntosh,201,
Thompson High School,82,89,,Alabaster,33676,
Andalusia High School,82,79,,Andalusia,8715,
Attalla Elementary School,82,88,,Attalla,5839,
